title,genres,overview,cast,director,keywords,vote_average,poster_path,language,industry
3 Idiots,Comedy Drama,"Three engineering students challenge a rigid education system while chasing friendship and purpose.","Aamir Khan R Madhavan Sharman Joshi Kareena Kapoor","Rajkumar Hirani","college friendship education comedy inspiration",8.8,,Hindi,Bollywood
Dangal,Biography Drama Sport,"A former wrestler trains his daughters to become world-class wrestlers.","Aamir Khan Fatima Sana Shaikh Sanya Malhotra","Nitesh Tiwari","wrestling sports family women empowerment",8.7,,Hindi,Bollywood
Lagaan,Drama Sport Musical,"Villagers challenge British officers to a cricket match to avoid paying tax.","Aamir Khan Gracy Singh Rachel Shelley","Ashutosh Gowariker","cricket village british india underdog",8.1,,Hindi,Bollywood
Sholay,Action Adventure Drama,"Two criminals are hired to capture a ruthless bandit terrorizing a village.","Amitabh Bachchan Dharmendra Hema Malini","Ramesh Sippy","friendship revenge bandit village action",8.2,,Hindi,Bollywood
Zindagi Na Milegi Dobara,Comedy Drama Romance,"Three friends rediscover life and friendship during a road trip in Spain.","Hrithik Roshan Farhan Akhtar Abhay Deol Katrina Kaif","Zoya Akhtar","travel friendship road trip self discovery",8.2,,Hindi,Bollywood
Queen,Comedy Drama,"A sheltered woman goes on her honeymoon alone and discovers independence.","Kangana Ranaut Rajkummar Rao Lisa Haydon","Vikas Bahl","self discovery travel independence women",8.1,,Hindi,Bollywood
PK,Comedy Drama Sci-Fi,"An alien questions religious customs and human beliefs after landing on Earth.","Aamir Khan Anushka Sharma Sushant Singh Rajput","Rajkumar Hirani","alien religion satire comedy humanity",8.1,,Hindi,Bollywood
Andhadhun,Crime Mystery Thriller,"A blind pianist becomes involved in a murder mystery full of deception.","Ayushmann Khurrana Tabu Radhika Apte","Sriram Raghavan","blind pianist murder twist crime",8.2,,Hindi,Bollywood
Gully Boy,Drama Music,"A young rapper from Mumbai rises through underground hip-hop culture.","Ranveer Singh Alia Bhatt Siddhant Chaturvedi","Zoya Akhtar","rap music mumbai dreams struggle",7.9,,Hindi,Bollywood
Kahaani,Mystery Thriller,"A pregnant woman searches for her missing husband in Kolkata.","Vidya Balan Parambrata Chatterjee Nawazuddin Siddiqui","Sujoy Ghosh","missing husband mystery kolkata twist",8.1,,Hindi,Bollywood
Baahubali: The Beginning,Action Adventure Drama,"A young man discovers his royal legacy and a kingdom shaped by betrayal.","Prabhas Rana Daggubati Anushka Shetty Tamannaah","S S Rajamouli","kingdom warrior revenge epic fantasy",8.0,,Telugu,Tollywood
Baahubali 2: The Conclusion,Action Adventure Drama,"A prince's past reveals betrayal, sacrifice, and a battle for the throne.","Prabhas Rana Daggubati Anushka Shetty Ramya Krishnan","S S Rajamouli","kingdom revenge throne war epic",8.2,,Telugu,Tollywood
RRR,Action Drama,"Two revolutionaries form a powerful friendship while fighting colonial rule.","N T Rama Rao Jr Ram Charan Alia Bhatt Ajay Devgn","S S Rajamouli","freedom friendship british action revolution",8.0,,Telugu,Tollywood
Eega,Action Fantasy Comedy,"A murdered man is reborn as a fly and seeks revenge.","Nani Samantha Ruth Prabhu Sudeep","S S Rajamouli","revenge reincarnation fantasy comedy",7.7,,Telugu,Tollywood
Arjun Reddy,Drama Romance,"A brilliant but troubled surgeon spirals after heartbreak.","Vijay Deverakonda Shalini Pandey","Sandeep Reddy Vanga","love anger heartbreak doctor",7.9,,Telugu,Tollywood
Jersey,Drama Sport,"A former cricketer attempts a comeback for his son's happiness.","Nani Shraddha Srinath","Gowtam Tinnanuri","cricket father son comeback sport",8.5,,Telugu,Tollywood
Mahanati,Biography Drama,"The life and career of legendary actress Savitri unfolds through fame and tragedy.","Keerthy Suresh Dulquer Salmaan Samantha Ruth Prabhu","Nag Ashwin","actress biography cinema tragedy",8.4,,Telugu,Tollywood
Ala Vaikunthapurramuloo,Action Comedy Drama,"A young man discovers his true family identity and confronts deception.","Allu Arjun Pooja Hegde Tabu","Trivikram Srinivas","family identity comedy action",7.3,,Telugu,Tollywood
Pushpa: The Rise,Action Crime Drama,"A laborer rises through the red sandalwood smuggling world.","Allu Arjun Rashmika Mandanna Fahadh Faasil","Sukumar","smuggling forest ambition crime",7.6,,Telugu,Tollywood
Kantara,Action Adventure Drama,"A village conflict reveals a deep connection with faith, land, and tradition.","Rishab Shetty Sapthami Gowda Kishore","Rishab Shetty","tradition land deity village action",8.2,,Kannada,Sandalwood
KGF: Chapter 1,Action Crime Drama,"A young man rises from poverty to power in the Kolar Gold Fields.","Yash Srinidhi Shetty Ramachandra Raju","Prashanth Neel","gold mine ambition gangster action",8.2,,Kannada,Sandalwood
KGF: Chapter 2,Action Crime Drama,"Rocky expands his empire while powerful enemies close in.","Yash Sanjay Dutt Raveena Tandon Srinidhi Shetty","Prashanth Neel","empire gold gangster revenge",8.3,,Kannada,Sandalwood
777 Charlie,Adventure Comedy Drama,"A lonely man forms a life-changing bond with a dog.","Rakshit Shetty Sangeetha Sringeri","Kiranraj K","journey friendship emotion healing",8.7,,Kannada,Sandalwood
Kirik Party,Comedy Drama Romance,"A group of engineering students experience friendship, love, and growth.","Rakshit Shetty Rashmika Mandanna Samyuktha Hegde","Rishab Shetty","college friendship romance youth",8.2,,Kannada,Sandalwood
Lucia,Drama Sci-Fi Thriller,"An insomniac projectionist takes a mysterious pill that blurs dreams and reality.","Sathish Ninasam Sruthi Hariharan","Pawan Kumar","dream reality insomnia psychological",8.3,,Kannada,Sandalwood
U Turn,Crime Mystery Thriller,"A journalist investigates deaths linked to a traffic violation.","Shraddha Srinath Dileep Raj Radhika Chetan","Pawan Kumar","investigation traffic mystery thriller",7.4,,Kannada,Sandalwood
Vikram,Action Crime Thriller,"A black-ops squad uncovers a dangerous drug syndicate.","Kamal Haasan Vijay Sethupathi Fahadh Faasil","Lokesh Kanagaraj","drugs undercover action revenge",8.3,,Tamil,Kollywood
Kaithi,Action Crime Thriller,"An ex-prisoner helps police transport injured officers during a drug raid.","Karthi Narain Arjun Das","Lokesh Kanagaraj","prisoner police drugs night action",8.4,,Tamil,Kollywood
96,Drama Romance,"Two high school sweethearts meet after years at a reunion.","Vijay Sethupathi Trisha Krishnan","C Prem Kumar","nostalgia school love reunion",8.5,,Tamil,Kollywood
Super Deluxe,Comedy Crime Drama,"Interconnected lives collide through secrets, guilt, and unexpected events.","Vijay Sethupathi Fahadh Faasil Samantha Ruth Prabhu","Thiagarajan Kumararaja","anthology crime family dark comedy",8.2,,Tamil,Kollywood
Asuran,Action Drama,"A farmer protects his family after a violent caste conflict.","Dhanush Manju Warrier","Vetrimaaran","caste revenge family rural action",8.4,,Tamil,Kollywood
Jai Bhim,Crime Drama,"A lawyer fights for justice after police brutality against a tribal family.","Suriya Lijomol Jose Manikandan","T J Gnanavel","justice law police human rights",8.7,,Tamil,Kollywood
Anniyan,Action Drama Thriller,"A man with multiple personalities punishes social wrongdoers.","Vikram Sadha Prakash Raj","S Shankar","vigilante psychology justice corruption",8.3,,Tamil,Kollywood
Enthiran,Action Sci-Fi,"A scientist creates a humanoid robot that develops dangerous emotions.","Rajinikanth Aishwarya Rai Bachchan Danny Denzongpa","S Shankar","robot artificial intelligence science action",7.1,,Tamil,Kollywood
Drishyam,Crime Drama Thriller,"A man protects his family after an accidental crime threatens their future.","Mohanlal Meena Asha Sharath","Jeethu Joseph","family crime cover up suspense",8.3,,Malayalam,Mollywood
Premam,Comedy Drama Romance,"A young man's romantic life unfolds through different stages of growing up.","Nivin Pauly Sai Pallavi Madonna Sebastian","Alphonse Puthren","love youth college romance",8.3,,Malayalam,Mollywood
Bangalore Days,Comedy Drama Romance,"Three cousins move to Bangalore and navigate friendship, love, and dreams.","Dulquer Salmaan Nivin Pauly Nazriya Nazim Fahadh Faasil","Anjali Menon","friendship cousins city romance",8.3,,Malayalam,Mollywood
Kumbalangi Nights,Comedy Drama Romance,"Four brothers in a fishing village confront family wounds and love.","Shane Nigam Soubin Shahir Fahadh Faasil","Madhu C Narayanan","family brothers village emotion",8.5,,Malayalam,Mollywood
Minnal Murali,Action Adventure Comedy,"A tailor gains superpowers after lightning strikes his village.","Tovino Thomas Guru Somasundaram","Basil Joseph","superhero village comedy action",7.8,,Malayalam,Mollywood
The Godfather,Crime Drama,"The aging patriarch of a crime dynasty transfers control to his reluctant son.","Marlon Brando Al Pacino James Caan","Francis Ford Coppola","mafia family crime power",9.2,,English,Hollywood
The Shawshank Redemption,Drama,"Two imprisoned men bond over hope and survival across many years.","Tim Robbins Morgan Freeman Bob Gunton","Frank Darabont","prison hope friendship redemption",9.3,,English,Hollywood
The Dark Knight,Action Crime Drama,"Batman faces a criminal mastermind who brings chaos to Gotham.","Christian Bale Heath Ledger Aaron Eckhart","Christopher Nolan","superhero joker crime gotham chaos",9.0,,English,Hollywood
Inception,Action Sci-Fi Thriller,"A thief enters dreams to steal secrets and is offered a chance to erase his past.","Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page","Christopher Nolan","dream heist subconscious sci fi",8.8,,English,Hollywood
Interstellar,Adventure Drama Sci-Fi,"A team travels through a wormhole to search for humanity's future home.","Matthew McConaughey Anne Hathaway Jessica Chastain","Christopher Nolan","space wormhole time survival",8.6,,English,Hollywood
Avatar,Action Adventure Sci-Fi,"A marine on an alien world becomes part of a native people's struggle.","Sam Worthington Zoe Saldana Sigourney Weaver","James Cameron","alien planet avatar war",7.9,,English,Hollywood
Titanic,Drama Romance,"A young aristocrat and poor artist fall in love aboard a doomed ship.","Leonardo DiCaprio Kate Winslet Billy Zane","James Cameron","ship romance disaster tragedy",7.9,,English,Hollywood
Avengers: Endgame,Action Adventure Sci-Fi,"The Avengers assemble for a final mission to reverse a cosmic disaster.","Robert Downey Jr Chris Evans Scarlett Johansson","Anthony Russo Joe Russo","superhero team time travel sacrifice",8.4,,English,Hollywood
Chhichhore,Comedy Drama,"A group of college friends reunite years later and remember the lessons of friendship and failure.","Sushant Singh Rajput Shraddha Kapoor Varun Sharma","Nitesh Tiwari","college friendship failure life comedy",8.3,,Hindi,Bollywood
Dhurandhar,Action Thriller,"A high-stakes Hindi action thriller centered on courage, deception, and conflict.","Ranveer Singh Sanjay Dutt Akshaye Khanna","Aditya Dhar","action spy thriller patriotic",7.0,,Hindi,Bollywood
Dilwale Dulhania Le Jayenge,Drama Romance,"A young couple falls in love during a Europe trip and must win family approval.","Shah Rukh Khan Kajol Amrish Puri","Aditya Chopra","love family europe romance",8.0,,Hindi,Bollywood
Kuch Kuch Hota Hai,Comedy Drama Romance,"College friendship and lost love return years later through a daughter's wish.","Shah Rukh Khan Kajol Rani Mukerji","Karan Johar","college friendship love family",7.6,,Hindi,Bollywood
Kabhi Khushi Kabhie Gham,Drama Romance,"An adopted son is separated from his wealthy family after choosing love.","Amitabh Bachchan Shah Rukh Khan Kajol Hrithik Roshan","Karan Johar","family love reunion drama",7.4,,Hindi,Bollywood
Munna Bhai M.B.B.S.,Comedy Drama,"A lovable gangster pretends to be a doctor to impress his father.","Sanjay Dutt Arshad Warsi Gracy Singh","Rajkumar Hirani","doctor comedy friendship hospital",8.1,,Hindi,Bollywood
Lage Raho Munna Bhai,Comedy Drama Romance,"Munna discovers Gandhian values while trying to win a radio host's heart.","Sanjay Dutt Arshad Warsi Vidya Balan","Rajkumar Hirani","gandhi comedy love social message",8.0,,Hindi,Bollywood
Taare Zameen Par,Drama Family,"An art teacher helps a dyslexic child rediscover confidence and creativity.","Aamir Khan Darsheel Safary Tisca Chopra","Aamir Khan","school child dyslexia art family",8.3,,Hindi,Bollywood
Barfi!,Comedy Drama Romance,"A charming deaf-mute man forms deep bonds through love and innocence.","Ranbir Kapoor Priyanka Chopra Ileana D'Cruz","Anurag Basu","love disability innocence comedy",8.1,,Hindi,Bollywood
Yeh Jawaani Hai Deewani,Comedy Drama Romance,"Friends reconnect through travel, ambition, love, and changing priorities.","Ranbir Kapoor Deepika Padukone Aditya Roy Kapur","Ayan Mukerji","travel friendship love youth",7.2,,Hindi,Bollywood
Bajrangi Bhaijaan,Action Comedy Drama,"A kind man helps a lost Pakistani girl return home.","Salman Khan Harshaali Malhotra Kareena Kapoor","Kabir Khan","family border child humanity",8.1,,Hindi,Bollywood
Piku,Comedy Drama,"A daughter manages her eccentric father while balancing career and personal life.","Deepika Padukone Amitabh Bachchan Irrfan Khan","Shoojit Sircar","family father daughter comedy",7.6,,Hindi,Bollywood
Dil Chahta Hai,Comedy Drama Romance,"Three friends navigate love, adulthood, and changing relationships.","Aamir Khan Saif Ali Khan Akshaye Khanna","Farhan Akhtar","friendship youth romance life",8.1,,Hindi,Bollywood
Swades,Drama Musical,"An Indian NASA scientist returns home and reconnects with rural India.","Shah Rukh Khan Gayatri Joshi Kishori Ballal","Ashutosh Gowariker","village india social change drama",8.2,,Hindi,Bollywood
Rang De Basanti,Comedy Crime Drama,"Young friends awaken politically while acting in a documentary about freedom fighters.","Aamir Khan Siddharth Kunal Kapoor","Rakeysh Omprakash Mehra","youth revolution friendship patriotism",8.1,,Hindi,Bollywood
Gangs of Wasseypur,Action Crime Drama,"A multi-generational crime saga follows revenge and power in Wasseypur.","Manoj Bajpayee Nawazuddin Siddiqui Richa Chadha","Anurag Kashyap","gangster revenge crime politics",8.2,,Hindi,Bollywood
Drishyam 2,Crime Drama Thriller,"A family man protects his secrets when an old investigation reopens.","Ajay Devgn Tabu Akshaye Khanna","Abhishek Pathak","family crime suspense investigation",8.2,,Hindi,Bollywood
Pathaan,Action Adventure Thriller,"An Indian agent returns to stop a dangerous mercenary threat.","Shah Rukh Khan Deepika Padukone John Abraham","Siddharth Anand","spy action patriotism mission",5.8,,Hindi,Bollywood
Jawan,Action Drama Thriller,"A mysterious vigilante confronts corruption through daring operations.","Shah Rukh Khan Nayanthara Vijay Sethupathi","Atlee","vigilante corruption action justice",7.0,,Hindi,Bollywood
Race Gurram,Action Comedy,"A carefree man clashes with his disciplined brother while taking on a corrupt politician.","Allu Arjun Shruti Haasan Shaam","Surender Reddy","brothers comedy action politician",7.3,,Telugu,Tollywood
Athadu,Action Thriller,"A professional killer is framed for murder and finds refuge with a rural family.","Mahesh Babu Trisha Krishnan Sonu Sood","Trivikram Srinivas","assassin family action mystery",8.2,,Telugu,Tollywood
Pokiri,Action Crime Thriller,"An undercover cop infiltrates the criminal underworld.","Mahesh Babu Ileana D'Cruz Prakash Raj","Puri Jagannadh","undercover police gangster action",8.0,,Telugu,Tollywood
Magadheera,Action Drama Fantasy,"A warrior's reincarnated love story unfolds across centuries.","Ram Charan Kajal Aggarwal Dev Gill","S S Rajamouli","reincarnation warrior love fantasy",7.7,,Telugu,Tollywood
Gabbar Singh,Action Comedy,"A fearless cop uses unconventional methods to fight crime.","Pawan Kalyan Shruti Haasan Abhimanyu Singh","Harish Shankar","police comedy action village",7.1,,Telugu,Tollywood
Srimanthudu,Action Drama,"A wealthy man adopts a village and fights for its development.","Mahesh Babu Shruti Haasan Jagapathi Babu","Koratala Siva","village social action family",7.5,,Telugu,Tollywood
Rangasthalam,Action Drama,"A hearing-impaired villager challenges local political oppression.","Ram Charan Samantha Ruth Prabhu Aadhi","Sukumar","village politics revenge drama",8.2,,Telugu,Tollywood
Sita Ramam,Drama Romance,"A soldier's love story unfolds through letters and sacrifice.","Dulquer Salmaan Mrunal Thakur Rashmika Mandanna","Hanu Raghavapudi","love letters army romance",8.5,,Telugu,Tollywood
Vikram Vedha,Action Crime Thriller,"A police officer's morality is tested by a clever gangster.","R Madhavan Vijay Sethupathi Shraddha Srinath","Pushkar Gayathri","police gangster morality crime",8.2,,Tamil,Kollywood
Master,Action Thriller,"A troubled professor confronts a ruthless juvenile home gangster.","Vijay Vijay Sethupathi Malavika Mohanan","Lokesh Kanagaraj","college crime action revenge",7.4,,Tamil,Kollywood
Leo,Action Crime Thriller,"A cafe owner is pulled into a violent past linked to gangsters.","Vijay Trisha Sanjay Dutt","Lokesh Kanagaraj","gangster identity action thriller",7.2,,Tamil,Kollywood
Thuppakki,Action Thriller,"An army officer tracks and fights a terrorist sleeper cell network.","Vijay Kajal Aggarwal Vidyut Jammwal","A R Murugadoss","army terrorism action mission",8.1,,Tamil,Kollywood
Kaththi,Action Drama,"A man fights corporate exploitation of farmers and water resources.","Vijay Samantha Ruth Prabhu Neil Nitin Mukesh","A R Murugadoss","farmers corporate justice action",8.1,,Tamil,Kollywood
Indian,Action Drama Thriller,"A former freedom fighter becomes a vigilante against corruption.","Kamal Haasan Manisha Koirala Urmila Matondkar","S Shankar","corruption vigilante patriotism",8.1,,Tamil,Kollywood
Mersal,Action Thriller,"A magician and doctor expose corruption in the medical system.","Vijay Nithya Menen Samantha Ruth Prabhu","Atlee","medical corruption revenge action",7.5,,Tamil,Kollywood
Ratsasan,Crime Thriller,"A police officer hunts a serial killer targeting schoolgirls.","Vishnu Vishal Amala Paul","Ram Kumar","serial killer police investigation",8.3,,Tamil,Kollywood
Mungaru Male,Drama Romance,"A young man falls in love during the monsoon in a hill town.","Ganesh Pooja Gandhi Anant Nag","Yogaraj Bhat","rain love romance heartbreak",8.4,,Kannada,Sandalwood
Ulidavaru Kandanthe,Crime Drama Thriller,"Different perspectives reveal the truth behind a coastal crime incident.","Rakshit Shetty Kishore Tara","Rakshit Shetty","crime mystery coastal anthology",8.3,,Kannada,Sandalwood
Raajakumara,Action Drama,"A dutiful son protects his family legacy and values.","Puneeth Rajkumar Priya Anand Anant Nag","Santhosh Ananddram","family action emotion values",7.8,,Kannada,Sandalwood
Mufti,Action Crime Thriller,"An undercover cop enters the world of a powerful crime lord.","Shiva Rajkumar Sriimurali Shanvi Srivastava","Narthan","undercover gangster action",7.9,,Kannada,Sandalwood
Garuda Gamana Vrishabha Vahana,Crime Drama Thriller,"Two friends rise through a violent coastal underworld.","Raj B Shetty Rishab Shetty Gopalkrishna Deshpande","Raj B Shetty","gangster friendship violence crime",8.3,,Kannada,Sandalwood
Dia,Drama Romance,"A shy woman's love story changes through unexpected turns.","Kushi Ravi Pruthvi Ambaar Dheekshith Shetty","K S Ashoka","love tragedy romance emotion",8.0,,Kannada,Sandalwood
Charlie,Adventure Drama,"A free-spirited woman changes the life of a cynical young man.","Dulquer Salmaan Parvathy Aparna Gopinath","Martin Prakkat","travel love adventure self discovery",8.0,,Malayalam,Mollywood
Ustad Hotel,Comedy Drama,"A young chef learns life lessons from his grandfather and food.","Dulquer Salmaan Thilakan Nithya Menen","Anwar Rasheed","food family dreams emotion",8.2,,Malayalam,Mollywood
Maheshinte Prathikaaram,Comedy Drama Thriller,"A photographer vows revenge after a public humiliation.","Fahadh Faasil Aparna Balamurali Soubin Shahir","Dileesh Pothan","revenge village comedy realism",8.3,,Malayalam,Mollywood
Lucifer,Action Crime Drama,"A political power struggle begins after a leader's death.","Mohanlal Vivek Oberoi Manju Warrier","Prithviraj Sukumaran","politics power crime action",7.5,,Malayalam,Mollywood
Ayyappanum Koshiyum,Action Drama Thriller,"A clash of ego between a police officer and an influential man escalates.","Prithviraj Sukumaran Biju Menon","Sachy","ego police conflict action",8.0,,Malayalam,Mollywood
2018,Action Drama Thriller,"People from different walks of life unite during the Kerala floods.","Tovino Thomas Kunchacko Boban Asif Ali","Jude Anthany Joseph","flood survival disaster humanity",8.4,,Malayalam,Mollywood
